,id,length,order,centralizer_order,centralizer_shape,centralizer_small_group,rational,real,power_up,power_map,power_classes,representative
0,1A,1,1,4154781481226426191177580544000000,-,-,True,True,-,-,1,-
1,2A,13571955000,2,306129918735099415756800,-,-,True,True,6A 6B 6D 10A 14A 14B 18A 18B 22A 26B 30A 30B 34B 34C 38A 42A 42B 66A 70A,-,1,-
2,2B,11707448673375,2,354883595661213696000,-,-,True,True,4A 4B 4C 4D 4F 4G 6C 6G 8A 8B 8C 8D 8E 8F 8H 8I 8L 10B 10D 12A 12B 12C 12D 12E 12G 12H 12I 12K 12L 12M 12O 14D 16A 16B 16C 16D 16E 16F 18C 20A 20B 20C 20D 20E 20F 20I 22B 24A 24B 24C 24D 24E 24F 24G 24K 24M 28A 28B 28C 28D 30D 30G 30H 32A 32B 32C 32D 36A 36B 40A 40B 40C 40D 44A 46A 46B 48A 48B 56A 56B 60A 60B,-,1,-
3,2C,156849238149120000,2,26489012826931200,-,-,True,True,4I 6F 6K 10C 12T 14C 18F 20H 26A 30C 34A 42C 52A,-,1,-
4,2D,355438141723665000,2,11689182992793600,-,-,True,True,4E 4H 4J 6E 6H 6I 6J 8G 8J 8K 8M 8N 10E 10F 12F 12J 12N 12P 12Q 12R 12S 14E 16G 16H 18D 18E 20G 20J 24H 24I 24J 24L 24N 28E 30E 30F 36C 40E 60C,-,1,-
5,3A,10725600877608960000,3,387370509926400,-,-,True,True,6A 6B 6C 6E 6F 6H 12A 12C 12D 12E 12G 12H 12I 12J 12L 12P 15A 21A 24A 24B 24C 24D 24E 24G 24I 24J 30A 30B 30C 30D 30E 33A 39A 42A 42B 42C 48A 48B 60A 60B 66A,-,1,-
6,3B,63622675428068556800000,3,65303470080,-,-,True,True,6D 6G 6I 6J 6K 9A 9B 12B 12F 12K 12M 12N 12O 12Q 12R 12S 12T 15B 18A 18B 18C 18D 18E 18F 24F 24H 24K 24L 24M 24N 27A 30F 30G 30H 36A 36B 36C 60C,-,1,-
7,4A,11167220161790784000,4,372051542016000,-,-,True,True,12C 20A 20B 20C 28C 44A 60A,-,1,-
8,4B,37913401783857600000,4,109586090557440,-,-,True,True,8B 8C 8E 12A 12B 12D 20D 24A 24B 24C 24D 28A 36A 40A 40B 40C,-,1,-
9,4C,20473236963283104000000,4,202937204736,-,-,True,True,8A 8D 8F 8H 12G 12M 16A 16B 16C 16D 16E 16F 24E 24F 24G 24K 28B 32A 32B 32C 32D 48A 48B 56A 56B,-,1,-
10,4D,21838119427501977600000,4,190253629440,-,-,True,True,12E 12H 12K 20E 28D 36B 60B,-,1,-
11,4E,43676238855003955200000,4,95126814720,-,-,True,True,8G 8J 12F 12J 12N 20G 24H 24I 24J 28E 36C 40E 60C,-,1,-
12,4F,171975190491578073600000,4,24159191040,-,-,True,True,8I 12I 12O 20I 24M,-,1,-
13,4G,687900761966312294400000,4,6039797760,-,-,True,True,8L 12L 20F 40D,-,1,-
14,4H,13758015239326245888000000,4,301989888,-,-,True,True,8K 8M 12P 12Q 12S 16G 16H 24L,-,1,-
15,4I,28898887395015540080640000,4,143769600,-,-,True,True,12T 20H 52A,-,1,-
16,4J,33019236574382990131200000,4,125829120,-,-,True,True,8N 12R 20J 24N,-,1,-
17,5A,9367743238695946498867200,5,443520000,-,-,True,True,10A 10B 10C 10E 15A 20A 20C 20D 20E 20F 20H 30A 30B 30C 30D 30E 35A 40A 40B 40C 40D 55A 60A 60B 70A,-,1,-
18,5B,692463580204404365196263424,5,6000000,-,-,True,True,10D 10F 15B 20B 20G 20I 20J 25A 30F 30G 30H 40E 60C,-,1,-
19,6A,37646859080407449600000,6,110361968640,-,-,True,True,30B 42B 66A,-,1,-
20,6B,662584719815171112960000,6,6270566400,-,-,True,True,30A 42A,-,1,-
21,6C,13044636671361181286400000,6,318504960,-,-,True,True,12A 12C 12D 12E 12G 12H 12I 12L 24A 24B 24C 24D 24E 24G 30D 48A 48B 60A 60B,-,1,-
22,6D,103068734193471062016000000,6,40310784,-,-,True,True,18A 18B,-,1,-
23,6E,208714186741778900582400000,6,19906560,-,-,True,True,30E,-,1,-
24,6F,238530499133461600665600000,6,17418240,-,-,True,True,30C 42C,-,1,-
25,6G,278285582322371867443200000,6,14929920,-,-,True,True,12B 12K 12M 12O 18C 24F 24K 24M 30G 30H 36A 36B,-,1,-
26,6H,391339100140835438592000000,6,10616832,-,-,True,True,12J 12P 24I 24J,-,1,-
27,6I,417428373483557801164800000,6,9953280,-,-,True,True,12F 12Q 12R 24H 24L 24N 30F 60C,-,1,-
28,6J,8348567469671156023296000000,6,497664,-,-,True,True,12N 12S 18D 18E 36C,-,1,-
29,6K,11131423292894874697728000000,6,373248,-,-,True,True,12T 18F,-,1,-
30,7A,7360369687546815106252800000,7,564480,-,-,True,True,14A 14B 14C 14D 14E 21A 28A 28B 28C 28D 28E 35A 42A 42B 42C 56A 56B 70A,-,1,-
31,8A,10482297325200949248000000,8,396361728,-,-,True,True,24E 24F 56A 56B,-,1,-
32,8B,352205190126751894732800000,8,11796480,-,-,True,True,24A 40A,-,1,-
33,8C,352205190126751894732800000,8,11796480,-,-,True,True,24B 40B,-,1,-
34,8D,660384731487659802624000000,8,6291456,-,-,True,True,16A 16B 16E 24G 48A 48B,-,1,-
35,8E,704410380253503789465600000,8,5898240,-,-,True,True,24C 24D 40C,-,1,-
36,8F,2641538925950639210496000000,8,1572864,-,-,True,True,24K,-,1,-
37,8G,2817641521014015157862400000,8,1474560,-,-,True,True,24H 24I 40E,-,1,-
38,8H,7924616777851917631488000000,8,524288,-,-,True,True,16C 16D 16F 32A 32B 32C 32D,-,1,-
39,8I,21132311407605113683968000000,8,196608,-,-,True,True,24M,-,1,-
40,8J,42264622815210227367936000000,8,98304,-,-,True,True,24J,-,1,-
41,8K,42264622815210227367936000000,8,98304,-,-,True,True,16G 24L,-,1,-
42,8L,50717547378252272841523200000,8,81920,-,-,True,True,40D,-,1,-
43,8M,126793868445630682103808000000,8,32768,-,-,True,True,16H,-,1,-
44,8N,338116982521681818943488000000,8,12288,-,-,True,True,24N,-,1,-
45,9A,237470363581757326884864000000,9,17496,-,-,True,True,18E 27A 36C,-,1,-
46,9B,356205545372635990327296000000,9,11664,-,-,True,True,18A 18B 18C 18D 18F 36A 36B,-,1,-
47,10A,10304517562565541148753920000,10,403200,-,-,True,True,30A 30B 70A,-,1,-
48,10B,54098717203469091030958080000,10,76800,-,-,True,True,20A 20C 20D 20E 20F 30D 40A 40B 40C 40D 60A 60B,-,1,-
49,10C,144263245875917576082554880000,10,28800,-,-,True,True,20H 30C,-,1,-
50,10D,173115895051101091299065856000,10,24000,-,-,True,True,20B 20I 30G 30H,-,1,-
51,10E,216394868813876364123832320000,10,19200,-,-,True,True,30E,-,1,-
52,10F,432789737627752728247664640000,10,9600,-,-,True,True,20G 20J 30F 40E 60C,-,1,-
53,11A,3147561728201838023619379200000,11,1320,-,-,True,True,22A 22B 33A 44A 55A 66A,-,1,-
54,12A,1043570933708894502912000000,12,3981312,-,-,True,True,-,-,1,Omitted owing to length.
55,12B,5565711646447437348864000000,12,746496,-,-,True,True,36A,-,1,-
56,12C,5635283042028030315724800000,12,737280,-,-,True,True,60A,-,1,-
57,12D,6261425602253367017472000000,12,663552,-,-,True,True,24A 24B 24C 24D,-,1,-
58,12E,15027421445408080841932800000,12,276480,-,-,True,True,60B,-,1,-
59,12F,30054842890816161683865600000,12,138240,-,-,True,True,24H 60C,-,1,-
60,12G,56352830420280303157248000000,12,73728,-,-,True,True,24E 24G 48A 48B,-,1,-
61,12H,75137107227040404209664000000,12,55296,-,-,True,True,-,-,1,Omitted owing to length.
62,12I,112705660840560606314496000000,12,36864,-,-,True,True,-,-,1,abababbababbabababbababbabababababbababbabbabbababb
63,12J,150274214454080808419328000000,12,27648,-,-,True,True,24I 24J,-,1,-
64,12K,200365619272107744559104000000,12,20736,-,-,True,True,36B,-,1,-
65,12L,225411321681121212628992000000,12,18432,-,-,True,True,-,-,1,Omitted owing to length.
66,12M,300548428908161616838656000000,12,13824,-,-,True,True,24F 24K,-,1,-
67,12N,400731238544215489118208000000,12,10368,-,-,True,True,36C,-,1,-
68,12O,450822643362242425257984000000,12,9216,-,-,True,True,24M,-,1,-
69,12P,450822643362242425257984000000,12,9216,-,-,True,True,-,-,1,Omitted owing to length.
70,12Q,450822643362242425257984000000,12,9216,-,-,True,True,24L,-,1,-
71,12R,2704935860173454551547904000000,12,1536,-,-,True,True,24N,-,1,-
72,12S,3606581146897939402063872000000,12,1152,-,-,True,True,-,-,1,ababbabababbababababbababbabb
73,12T,4808774862530585869418496000000,12,864,-,-,True,True,-,-,1,ababababbababababbababbabababbababb
74,13A,13316607311623160869158912000000,13,312,-,-,True,True,26A 26B 39A 52A,-,1,-
75,14A,7360369687546815106252800000,14,564480,-,-,True,True,42A 70A,-,1,-
76,14B,883244362505617812750336000000,14,4704,-,-,True,True,42B,-,1,-
77,14C,883244362505617812750336000000,14,4704,-,-,True,True,42C,-,1,-
78,14D,2318516451577246758469632000000,14,1792,-,-,True,True,28A 28B 28C 28D 56A 56B,-,1,-
79,14E,2318516451577246758469632000000,14,1792,-,-,True,True,28E,-,1,-
80,15A,1154105967007340608660439040000,15,3600,-,-,True,True,30A 30B 30C 30D 30E 60A 60B,-,1,-
81,15B,34623179010220218259813171200000,15,120,-,-,True,True,30F 30G 30H 60C,-,1,-
82,16A,338116982521681818943488000000,16,12288,-,-,True,True,48A,-,1,-
83,16B,338116982521681818943488000000,16,12288,-,-,True,True,48B,-,1,-
84,16C,2028701895130090913660928000000,16,2048,-,-,True,True,32A 32B,-,1,-
85,16D,2028701895130090913660928000000,16,2048,-,-,True,True,32C 32D,-,1,-
86,16E,2028701895130090913660928000000,16,2048,-,-,True,True,-,-,1,aababbabababababbababbabbabbababbabbababababbababb
87,16F,4057403790260181827321856000000,16,1024,-,-,True,True,-,-,1,ababbababababbababbabbabb
88,16G,16229615161040727309287424000000,16,256,-,-,True,True,-,-,1,abababababbababbabbabbab
89,16H,16229615161040727309287424000000,16,256,-,-,True,True,-,-,1,Omitted owing to length.
90,17A,61099727665094502811435008000000,17,68,-,-,True,True,34A 34B 34C,-,1,-
91,18A,3205849908353723912945664000000,18,1296,-,-,True,True,-,-,1,abababababbababbabbabbababababababbababbabbabbababbabb
92,18B,6411699816707447825891328000000,18,648,-,-,True,True,-,-,1,Omitted owing to length.
93,18C,9617549725061171738836992000000,18,432,-,-,True,True,36A 36B,-,1,-
94,18D,9617549725061171738836992000000,18,432,-,-,True,True,-,-,1,aabababababbababbabbabbababbabbababababbababbabb
95,18E,19235099450122343477673984000000,18,216,-,-,True,True,36C,-,1,-
96,18F,19235099450122343477673984000000,18,216,-,-,True,True,-,-,1,abababbababb
97,19A,109336354769116478715199488000000,19,38,-,-,True,True,38A,-,1,-
98,20A,108197434406938182061916160000,20,38400,-,-,True,True,60A,-,1,-
99,20B,1038695370306606547794395136000,20,4000,-,-,True,True,-,-,1,Omitted owing to length.
100,20C,1298369212883258184742993920000,20,3200,-,-,True,True,-,-,1,Omitted owing to length.
101,20D,1622961516104072730928742400000,20,2560,-,-,True,True,40A 40B 40C,-,1,-
102,20E,4327897376277527282476646400000,20,960,-,-,True,True,60B,-,1,-
103,20F,6491846064416290923714969600000,20,640,-,-,True,True,40D,-,1,-
104,20G,8655794752555054564953292800000,20,480,-,-,True,True,40E 60C,-,1,-
105,20H,10386953703066065477943951360000,20,400,-,-,True,True,-,-,1,abababbabababbababbabababbababb
106,20I,25967384257665163694859878400000,20,160,-,-,True,True,-,-,1,ababababbababbababababbababbabbababababbababbabb
107,20J,51934768515330327389719756800000,20,80,-,-,True,True,-,-,1,-
108,21A,16487228100104865838006272000000,21,252,-,-,True,True,42A 42B 42C,-,1,-
109,22A,31475617282018380236193792000000,22,132,-,-,True,True,66A,-,1,-
110,22B,47213425923027570354290688000000,22,88,-,-,True,True,44A,-,1,-
111,23A,90321336548400569373425664000000,23,46,-,-,False,False,23B^5 46A 46B,-,2,-
112,23B,90321336548400569373425664000000,23,46,-,-,False,False,23A^5 46A 46B,-,2,-
113,24A,1803290573448969701031936000000,24,2304,-,-,True,True,-,-,1,abababbabababababbababbabbabbababababbababababbababb
114,24B,1803290573448969701031936000000,24,2304,-,-,True,True,-,-,1,Omitted owing to length.
115,24C,1803290573448969701031936000000,24,2304,-,-,True,True,-,-,1,Omitted owing to length.
116,24D,1803290573448969701031936000000,24,2304,-,-,True,True,-,-,1,Omitted owing to length.
117,24E,1803290573448969701031936000000,24,2304,-,-,True,True,-,-,1,ababbabababbabababbababb
118,24F,2404387431265292934709248000000,24,1728,-,-,True,True,-,-,1,ababbababbabababbabababbababb
119,24G,5409871720346909103095808000000,24,768,-,-,True,True,48A 48B,-,1,-
120,24H,7213162293795878804127744000000,24,576,-,-,True,True,-,-,1,Omitted owing to length.
121,24I,7213162293795878804127744000000,24,576,-,-,True,True,-,-,1,abababbabababbababbababababbababbabb
122,24J,21639486881387636412383232000000,24,192,-,-,True,True,-,-,1,abababbabababbababbabababbab
123,24K,21639486881387636412383232000000,24,192,-,-,True,True,-,-,1,abababababbababbabababbab
124,24L,21639486881387636412383232000000,24,192,-,-,True,True,-,-,1,abababbababababbababbabababbababababababbababbabbabb
125,24M,43278973762775272824766464000000,24,96,-,-,True,True,-,-,1,abababbababababbababbabababbabababababbababbabbabb
126,24N,43278973762775272824766464000000,24,96,-,-,True,True,-,-,1,bababababbababbabababababbababbabbabb
127,25A,166191259249057047647103221760000,25,25,25,-,True,True,-,-,1,ababababbabababbab
128,26A,39949821934869482607476736000000,26,104,-,-,True,True,52A,-,1,-
129,26B,79899643869738965214953472000000,26,52,-,-,True,True,-,-,1,ababababbabababbababb
130,27A,153880795600978747821391872000000,27,27,27,-,True,True,-,-,1,abababbababbababababbababbabb
131,28A,9274065806308987033878528000000,28,448,-,-,True,True,-,-,1,aabababbababbabababababbababbabbabbababbabbababbab
132,28B,9274065806308987033878528000000,28,448,-,-,True,True,56A 56B,-,1,-
133,28C,18548131612617974067757056000000,28,224,-,-,True,True,-,-,1,abababbababbabababbababbababababbababb
134,28D,18548131612617974067757056000000,28,224,-,-,True,True,-,-,1,Omitted owing to length.
135,28E,37096263225235948135514112000000,28,112,-,-,True,True,-,-,1,abababbabababababbababbabb
