,Conjugacy  class,Centraliser order,Power  up,Class  rep(s)
0,1A,808017424794512875886459904961710757005754368000000000,,
1,2A,8309562962452852382355161088000000,4B 6A 6D 8C 10A 10C 12C 12G 14A 18A  18B 20B 22A 24G 26A 28A 30B 30F 34A 36C 38A 40A 42A 46C 46D  50A 52A 54A 60A 62A 62B 66A 68A 70A 78A 84A 94A 94B 104A  104B 110A,
2,2B,139511839126336328171520000,4A 4C 4D 6B 6C 6E 6F 8A 8B 8D 8E 8F  10B 10D 10E 12A 12B 12D 12E 12F 12H 12I 12J 14B 14C 16A 16B  16C 18C 18D 18E 20A 20C 20D 20E 20F 22B 24A 24B 24C 24D 24E  24F 24H 24I 24J 26B 28B 28C 28D 30A 30C 30D 30E 30G 32A 32B  36A 36B 36D 40B 40C 40D 42B 42C 42D 44A 44B 46A 46B 48A 52B  56A 56B 56C 60B 60C 60D 60E 60F 66B 70B 78B 78C 84B 84C 88A  88B 92A 92B,
3,3A,3765617127571985163878400,6A 6C 12A 12C 12E 15A 21A 21B 24A 24B  24D 30B 30C 33B 39A 42A 42D 48A 51A 60A 60B 66A 69A 69B 78A  84A 87A 87B 105A,
4,3B,1429615077540249600,6B 6D 6E 9A 9B 12B 12F 12G 12H 12I 15B  15C 18A 18B 18C 18D 18E 21D 24C 24F 24G 24H 24I 27A 27B 30A  30D 30F 30G 33A 36A 36B 36C 36D 39C 39D 42B 45A 54A 60C 60D  60E 66B 78B 78C 84B,
5,3C,272237831663616000,6F 12D 12J 15D 21C 24E 24J 30E 39B 42C  57A 60F 84C 93A 93B,
6,4A,8317584273309696000,8B 12A 12B 12D 20A 20C 24A 24E 28B 36A  36B 40B 44A 44B 60B 60C 84C 88A 88B 92A 92B,
7,4B,26489012826931200,8C 12C 12G 20B 24G 28A 36C 40A 52A 60A  68A 84A 104A 104B,
8,4C,48704929136640,8A 8D 8E 12E 12H 12I 16A 16B 16C 20F  24B 24C 24D 24H 24I 28C 32A 32B 36D 40C 40D 48A 56A  60D,
9,4D,8244323942400,8F 12F 12J 20D 20E 24F 24J 28D 52B 56B  56C 60E 60F 84B,
10,5A,1365154560000000,10A 10B 15A 15B 20A 20B 20D 30B 30C  30D 35A 40A 40B 45A 55A 60A 60B 60E 70A 95A 95B 105A  110A,
11,5B,94500000000,10C 10D 10E 15C 15D 20C 20E 20F 25A  30A 30E 30F 30G 35B 40C 40D 50A 60C 60D 60F 70B,
12,6A,774741019852800,12C 30B 42A 60A 66A 78A 84A,
13,6B,2690072985600,12F 24F 30A 30D 42B 60E 66B 78B 78C  84B,
14,6C,481579499520,12A 12E 24A 24B 24D 30C 42D 48A  60B,
15,6D,130606940160,12G 18A 18B 24G 30F 36C 54A,
16,6E,1612431360,12B 12H 12I 18C 18D 18E 24C 24H 24I  30G 36A 36B 36D 60C 60D,
17,6F,278691840,12D 12J 24E 24J 30E 42C 60F 84C,
18,7A,28212710400,14A 14B 21A 21C 28A 28B 28C 35A 42A  42C 56A 70A 84A 84C 105A 119A 119B,
19,7B,84707280,14C 21B 21D 28D 35B 42B 42D 56B 56C  70B 84B,
20,8A,792723456,16A 24B 24C 48A 56A,
21,8B,778567680,24A 24E 40B 88A 88B,
22,8C,143769600,24G 40A 104A 104B,
23,8D,23592960,24D 24H 40C 40D,
24,8E,12582912,16B 16C 24I 32A 32B,
25,8F,3096576,24F 24J 56B 56C,
26,9A,56687040,18B 18C 36A 36C 45A,
27,9B,2834352,18A 18D 18E 27A 27B 36B 36D 54A,
28,10A,887040000,20B 30B 40A 60A 70A 110A,
29,10B,18432000,20A 20D 30C 30D 40B 60B 60E,
30,10C,12000000,30F 50A,
31,10D,6048000,20E 30A 30E 60F 70B,
32,10E,480000,20C 20F 30G 40C 40D 60C 60D,
33,11A,1045440,22A 22B 33A 33B 44A 44B 55A 66A 66B  88A 88B 110A,
34,12A,119439360,24A 60B,
35,12B,22394880,36A 36B 60C,
36,12C,17418240,60A 84A,
37,12D,1161216,24E 84C,
38,12E,884736,24B 24D 48A,
39,12F,483840,24F 60E 84B,
40,12G,373248,24G 36C,
41,12H,276480,24H 60D,
42,12I,82944,24C 24I 36D,
43,12J,23040,24J 60F,
44,13A,73008,26A 39A 39B 52A 78A 104A 104B,
45,13B,52728,26B 39C 39D 52B 78B 78C,
46,14A,1128960,28A 42A 70A 84A,
47,14B,150528,28B 28C 42C 56A 84C,
48,14C,35280,28D 42B 42D 56B 56C 70B 84B,
49,15A,2721600,30B 30C 60A 60B 105A,
50,15B,145800,30D 45A 60E,
51,15C,10800,30A 30F 30G 60C 60D,
52,15D,9000,30E 60F,
53,16A,12288,48A,
54,16B,8192,32A,
55,16C,8192,32B,
56,17A,2856,34A 51A 68A 119A 119B,
57,18A,34992,54A,
58,18B,23328,36C,
59,18C,15552,36A,
60,18D,3888,36B 36D,
61,18E,3888,,
62,19A,1140,38A 57A 95A 95B,
63,20A,76800,40B 60B,
64,20B,28800,40A 60A,
65,20C,24000,60C,
66,20D,19200,60E,
67,20E,1200,60F,
68,20F,960,40C 40D 60D,
69,21A,52920,42A 84A 105A,
70,21B,6174,42D,
71,21C,3528,42C 84C,
72,21D,504,42B 84B,
73,22A,2640,66A 110A,
74,22B,2112,44A 44B 66B 88A 88B,
75,23A,552,23B5 46A 46B 46C 46D 69A  69B 92A 92B,
76,23B,552,23A5 46A 46B 46C 46D 69A  69B 92A 92B,
77,24A,6912,,
78,24B,4608,48A,
79,24C,3456,,
80,24D,2304,,
81,24E,1152,,
82,24F,864,,
83,24G,864,,
84,24H,576,,
85,24I,384,,
86,24J,288,,
87,25A,250,50A,
88,26A,624,52A 78A 104A 104B,
89,26B,312,52B 78B 78C,
90,27A,486,54A,
91,27B,243,,
92,28A,4704,84A,
93,28B,2688,84C,
94,28C,896,56A,
95,28D,168,56B 56C 84B,
96,29A,87,87A 87B,
97,30A,10800,,
98,30B,7200,60A,
99,30C,2880,60B,
100,30D,1800,60E,
101,30E,360,60F,
102,30F,240,,
103,30G,240,60C 60D,
