,id,length,order,centralizer_order,centralizer_shape,centralizer_small_group,rational,real,power_up,power_map,power_classes,representative
0,1A,1,1,808017424794512875886459904961710757005754368000000000,-,-,True,True,-,-,1,-
1,2A,97239461142009186000,2,8309562962452852382355161088000000,-,-,True,True,4B 6A 6D 8C 10A 10C 12C 12G 14A 18A 18B 20B 22A 24G 26A 28A 30B 30F 34A 36C 38A 40A 42A 46C 46D 50A 52A 54A 60A 62A 62B 66A 68A 70A 78A 84A 94A 94B 104A 104B 110A,-,1,-
2,2B,5791748068511982636944259375,2,139511839126336328171520000,-,-,True,True,4A 4C 4D 6B 6C 6E 6F 8A 8B 8D 8E 8F 10B 10D 10E 12A 12B 12D 12E 12F 12H 12I 12J 14B 14C 16A 16B 16C 18C 18D 18E 20A 20C 20D 20E 20F 22B 24A 24B 24C 24D 24E 24F 24H 24I 24J 26B 28B 28C 28D 30A 30C 30D 30E 30G 32A 32B 36A 36B 36D 40B 40C 40D 42B 42C 42D 44A 44B 46A 46B 48A 52B 56A 56B 56C 60B 60C 60D 60E 60F 66B 70B 78B 78C 84B 84C 88A 88B 92A 92B,-,1,-
3,3A,214577690036031541739520000000,3,3765617127571985163878400,-,-,True,True,6A 6C 12A 12C 12E 15A 21A 21B 24A 24B 24D 30B 30C 33B 39A 42A 42D 48A 51A 60A 60B 66A 69A 69B 78A 84A 87A 87B 105A,-,1,-
4,3B,565199288597852543703402414080000000,3,1429615077540249600,-,-,True,True,6B 6D 6E 9A 9B 12B 12F 12G 12H 12I 15B 15C 18A 18B 18C 18D 18E 21D 24C 24F 24G 24H 24I 27A 27B 30A 30D 30F 30G 33A 36A 36B 36C 36D 39C 39D 42B 45A 54A 60C 60D 60E 66B 78B 78C 84B,-,1,-
5,3C,2968057083972516318090098638848000000,3,272237831663616000,-,-,True,True,6F 12D 12J 15D 21C 24E 24J 30E 39B 42C 57A 60F 84C 93A 93B,-,1,-
6,4A,97145685362919706207382495808000000,4,8317584273309696000,-,-,True,True,8B 12A 12B 12D 20A 20C 24A 24E 28B 36A 36B 40B 44A 44B 60B 60C 84C 88A 88B 92A 92B,-,1,-
7,4B,30503870796310198117193355632640000000,4,26489012826931200,-,-,True,True,8C 12C 12G 20B 24G 28A 36C 40A 52A 60A 68A 84A 104A 104B,-,1,-
8,4C,16590054417852612827565745721611200000000,4,48704929136640,-,-,True,True,8A 8D 8E 12E 12H 12I 16A 16B 16C 20F 24B 24C 24D 24H 24I 28C 32A 32B 36D 40C 40D 48A 56A 60D,-,1,-
9,4D,98008936868544666550542251647672320000000,4,8244323942400,-,-,True,True,8F 12F 12J 20D 20E 24F 24J 28D 52B 56B 56C 60E 60F 84B,-,1,-
10,5A,591887137522737993774463094465809612800,5,1365154560000000,-,-,True,True,10A 10B 15A 15B 20A 20B 20D 30B 30C 30D 35A 40A 40B 45A 55A 60A 60B 60E 70A 95A 95B 105A 110A,-,1,-
11,5B,8550448939624474877105395819700642931277824,5,94500000000,-,-,True,True,10C 10D 10E 15C 15D 20C 20E 20F 25A 30A 30E 30F 30G 35B 40C 40D 50A 60C 60D 60F 70B,-,1,-
12,6A,1042951649762956089160694035906560000000,6,774741019852800,-,-,True,True,12C 30B 42A 60A 66A 78A 84A,-,1,-
13,6B,300370075131731353678279882341089280000000,6,2690072985600,-,-,True,True,12F 24F 30A 30D 42B 60E 66B 78B 78C 84B,-,1,-
14,6C,1677848466556155608437266530264678400000000,6,481579499520,-,-,True,True,12A 12E 24A 24B 24D 30C 42D 48A 60B,-,1,-
15,6D,6186634675038335082962102103362764800000000,6,130606940160,-,-,True,True,12G 18A 18B 24G 30F 36C 54A,-,1,-
16,6E,501117408678105141719930270372383948800000000,6,1612431360,-,-,True,True,12B 12H 12I 18C 18D 18E 24C 24H 24I 30G 36A 36B 36D 60C 60D,-,1,-
17,6F,2899322150209036891379596564297364275200000000,6,278691840,-,-,True,True,12D 12J 24E 24J 30E 42C 60F 84C,-,1,-
18,7A,28640191365467419815377252976080977920000000,7,28212710400,-,-,True,True,14A 14B 21A 21C 28A 28B 28C 35A 42A 42C 56A 70A 84A 84C 105A 119A 119B,-,1,-
19,7B,9538937205804659007897076909584521625600000000,7,84707280,-,-,True,True,14C 21B 21D 28D 35B 42B 42D 56B 56C 70B 84B,-,1,-
20,8A,1019292943432864532125639417135792128000000000,8,792723456,-,-,True,True,16A 24B 24C 48A 56A,-,1,-
21,8B,1037825542404371159982469224720079257600000000,8,778567680,-,-,True,True,24A 24E 40B 88A 88B,-,1,-
22,8C,5620224475789825358674294878484121518080000000,8,143769600,-,-,True,True,24G 40A 104A 104B,-,1,-
23,8D,34248242899344248279421484415762615500800000000,8,23592960,-,-,True,True,24D 24H 40C 40D,-,1,-
24,8E,64215455436270465523915283279554904064000000000,8,12582912,-,-,True,True,16B 16C 24I 32A 32B,-,1,-
25,8F,260938993518813320224163690786762784768000000000,8,3096576,-,-,True,True,24F 24J 56B 56C,-,1,-
